"Time","CAL? 72 3458B","CAL? 175 3458B"
1650925685000,0.98691357,37.5327102
1650929288000,0.98691351,37.4082573
1650932898000,0.98691349,37.358039
1650936492000,0.98691349,37.2287839
1650940095000,0.98691342,37.0442081
1650943698000,0.98691329,36.8076831
1650947308000,0.98691324,undefined
1650947309000,undefined,36.5508974
1650950902000,0.98691325,36.5848995
1650954505000,0.98691342,undefined
1650954506000,undefined,37.0571126
1650958108000,0.98691358,undefined
1650958109000,undefined,37.5121434
1650961719000,0.98691368,37.8866263
1650965313000,0.98691374,37.9799282
1650968915000,0.9869138,38.1512207
1650972519000,0.98691381,38.2557801
1650976129000,0.98691382,38.2346144
1650979723000,0.9869139,38.4289478
1650983325000,0.98691395,38.5790758
1650986929000,0.98691395,38.6252332
1650990539000,0.98691391,38.5256301
1650994133000,0.98691388,38.3714513
1650997735000,0.98691386,undefined
1650997736000,undefined,38.428943
1651001339000,0.98691379,38.2575758
1651004949000,0.98691386,38.3210804
1651008541000,0.98691384,38.1974568
1651012141000,0.98691363,37.9056128
1651015741000,0.98691352,37.6136915
1651019341000,0.98691343,37.3445272
1651022941000,0.98691333,37.0998922
1651026541000,0.9869133,36.8788422
1651030141000,0.98691313,36.6188988
1651033741000,0.98691306,36.3838761
1651041171000,0.98691341,37.1442568
1651044774000,0.98691367,37.8414339
1651048384000,0.98691375,undefined
1651048385000,undefined,38.0818611
1651051978000,0.98691379,undefined
1651051979000,undefined,38.1425086
1651055581000,0.98691382,38.2490255
1651059185000,0.98691374,38.1369578
1651062795000,0.98691378,38.1662372
1651066389000,0.98691384,38.3136551
1651069991000,0.98691385,38.5068621
1651073595000,0.9869139,undefined
1651073596000,undefined,38.5409393
1651077205000,0.98691398,38.702021
1651080799000,0.98691407,38.9395917
1651084401000,0.98691401,38.8995102
1651088005000,0.98691398,38.709908
1651091615000,0.98691391,38.5567091
1651095209000,0.98691384,38.3109543
1651098811000,0.9869137,38.1393524
1651102415000,0.98691369,37.9082422
1651106025000,0.9869136,37.6787064
1651109619000,0.98691347,37.4537403
1651113221000,0.98691338,37.1369787
1651116825000,0.98691327,36.8103859
1651120435000,0.98691317,36.517565
1651124027000,0.98691318,36.4259938
1651127627000,0.9869131,36.4068462
1651134331000,0.98691362,37.7726059
1651142202000,0.98691389,38.2643419
1651147116000,0.98691379,38.1320758
1651150980000,0.98691383,38.1766691
1651270423000,0.98691396,38.5699933
1651274029000,0.9869139,38.4475621
1651277635000,0.98691384,38.2377653
1651281242000,0.98691376,38.0094982
1651284848000,0.98691366,37.7906183
1651288455000,0.98691356,37.5902785
1651292061000,0.9869135,37.4013497
1651295667000,0.98691344,37.1885452
1651299274000,0.9869134,37.0496831
1651302880000,0.98691368,undefined
