"Time","CAL? 72 3458A","CAL? 175 3458A"
1650972518000,0.99159416,40.0350344
1650976120000,0.99159413,40.0176115
1650979720000,0.99159419,40.1775786
1650983321000,0.99159428,40.3227541
1650986928000,0.9915942,40.3608394
1650990530000,0.99159419,40.289194
1650994131000,0.99159426,40.1548019
1650997731000,0.99159423,40.2312695
1651001338000,0.99159414,40.066111
1651004940000,0.99159414,40.1209382
1651008540000,0.99159405,39.9715298
1651012140000,0.9915942,39.7341978
1651015740000,0.99159422,39.4688057
1651019340000,0.9915942,39.2012222
1651022940000,0.9915942,38.9628241
1651026540000,0.99159418,38.7429889
1651030140000,0.99159415,38.4866452
1651033740000,0.99159414,38.2448517
1651041167000,0.99159411,38.8626716
1651044773000,0.99159421,39.5361508
1651048376000,0.99159418,39.8033554
1651051976000,0.99159417,39.8922697
1651055576000,0.99159414,39.9457384
1651059183000,0.9915942,undefined
1651059184000,undefined,39.8880468
1651062786000,0.99159421,undefined
1651062787000,undefined,39.8823912
1651066387000,0.9915942,39.9681449
1651069987000,0.99159418,40.1647562
1651073594000,0.99159423,40.2207868
1651077196000,0.99159428,40.4771393
1651080796000,0.99159428,40.6846823
1651084397000,0.99159422,40.7374052
1651088004000,0.99159427,40.5245755
1651091606000,0.99159425,40.3040505
1651095206000,0.99159423,40.0783986
1651098807000,0.99159426,39.9436274
1651102414000,0.99159423,39.7298983
1651106016000,0.9915943,39.5058345
1651109616000,0.99159426,39.2930063
1651113217000,0.99159419,38.9686311
1651116824000,0.99159428,38.6374025
1651120426000,0.99159427,38.3192961
1651124026000,0.99159425,38.1882953
1651127626000,0.99159436,38.242076
1651134330000,0.9915944,39.4990612
1651142201000,0.99159438,40.0825559
1651147115000,0.99159438,39.914678
1651150979000,0.99159441,39.8487682
1651270422000,0.99159456,40.4123608
1651274028000,0.99159453,40.266734
1651277626000,0.99159448,40.0694431
1651281241000,0.99159448,39.8511102
1651284839000,0.9915945,39.6281761
1651288454000,0.99159452,39.4277167
1651292060000,0.99159442,39.2416535
1651295658000,0.99159446,39.0322961
1651299273000,0.99159447,38.8705297
1651302879000,0.99159447,39.371755
1651306477000,0.99159442,39.6839792
1651310093000,0.99159452,39.6839867
1651313691000,0.99159448,39.6894861
1651317306000,0.99159451,39.8007256
1651320912000,0.99159448,39.8839134
1651324510000,0.99159454,40.0553388
1651328125000,0.99159456,40.2143189
1651331731000,0.99159448,40.4605526
1651335329000,0.9915945,40.5809194
1651338944000,0.99159454,40.5732316
1651360479000,0.99159452,39.7763718
1651364085000,0.99159453,39.6204119
1651367692000,0.99159452,39.4421974
1651371298000,0.99159456,39.2722109
1651374896000,0.99159452,39.1045535
1651378511000,0.99159453,38.962991
1651382117000,0.99159458,38.8579358
1651385715000,0.9915946,38.8669103
1651389330000,0.99159462,undefined
1651389331000,undefined,38.8782311
1651392937000,0.99159469,39.1621042
1651396535000,0.99159466,39.3146
1651400150000,0.99159462,39.4307323
1651403748000,0.99159458,39.6438614
1651407363000,0.99159467,39.8817337
1651410969000,0.99159468,40.2310643
1651414567000,0.99159465,40.4752662
1651418182000,0.99159463,40.5175776
1651421788000,0.99159467,40.508521
1651425386000,0.99159462,40.5281354
1651429001000,0.99159466,40.5220238
1651432599000,0.99159465,40.4254159
1651436214000,0.99159459,40.2200458
1651439820000,0.99159465,40.1275197
1651443286000,0.99159458,40.0131024
1651446886000,0.9915946,39.9892712
1651450486000,0.99159454,39.8346671
1651454086000,0.99159443,undefined
1651454087000,undefined,39.6245508
1651457686000,0.99159454,undefined
1651457687000,undefined,39.3842709
1651461286000,0.99159446,undefined
1651461287000,undefined,39.1306451
1651464886000,0.9915945,undefined
1651464887000,undefined,38.8597482
1651468486000,0.9915946,undefined
1651468487000,undefined,38.6064965
1651472086000,0.99159457,undefined
1651472087000,undefined,38.9150232
1651476839000,0.99159472,39.4507229
1651480445000,0.99159464,39.6306699
1651484043000,0.99159465,39.8599394
1651487658000,0.9915947,40.1282732
1651491256000,0.99159469,40.4648617
1651494871000,0.99159469,40.740058
1651498477000,0.99159469,40.9964057
1651502075000,0.99159473,41.1277005
1651505690000,0.99159467,41.2452029
